Title,Company,Location,Type of Positions,Salary,Identified_Skills
Data Scientist II,RTL Networks,CA,Full-time,105000,"['python', 'numpy', 'pandas', 'machine learning', 'nosql', 'etl', 'sql', 'hadoop']"
Interdisciplinary Computer Scientist/Computer Engineer/Data Scientist,US Office of the Secretary of Defense,VA,Full-time,132368,['machine learning']
Postdoctoral Scientist - Tatonetti Lab - Data-Driven Precision Pharmacology,CEDARS-SINAI,CA,Full-time,64500,['machine learning']
Data Engineer,Booz Allen Hamilton,IL,Full-time,58300,"['python', 'machine learning', 'tableau', 'aws', 'azure', 'mysql', 'nosql', 'etl', 'sql', 'kafka', 'hadoop']"
"Data Scientist III, Walmart Data Ventures",Walmart,CA,Full-time,117000,"['tensorflow', 'python', 'machine learning', 'deep learning']"
"Generative AI Strategist, Senior",Booz Allen Hamilton,MD,Full-time,93300,"['python', 'machine learning', 'tableau', 'aws', 'azure', 'sql']"
AI Data Engineer,LPL Financial,CA,Full-time,131200,"['python', 'machine learning', 'deep learning', 'tableau', 'aws', 'docker', 'airflow', 'kafka']"
Senior AI Engineer,LPL Financial,CA,Full-time,150480,"['python', 'machine learning', 'deep learning', 'tableau', 'aws', 'docker', 'airflow', 'kafka']"
Data Scientist,US Heathcare Product Company,Remote,Full-time,110000,"['python', 'machine learning', 'aws', 'azure', 'gcp', 'sql']"
Data Scientist,Boston Services,MI,Full-time,130000,"['python', 'tableau', 'docker', 'sql', 'git', 'hadoop']"
Data Scientist,Thalo Labs,NY,Full-time,140000,"['python', 'git']"
Senior Data Analyst,Basis Technologies,IL,Full-time,84000,"['python', 'tableau', 'sql']"
Data Manager I,DLH Corp,US,Full-time,63000,['python']
"Generative AI Strategist, Senior",Booz Allen Hamilton,MD,Full-time,93300,"['python', 'machine learning', 'tableau', 'aws', 'azure', 'sql']"
AI Data Engineer,LPL Financial,CA,Full-time,131200,"['python', 'machine learning', 'deep learning', 'tableau', 'aws', 'docker', 'airflow', 'kafka']"
Senior AI Engineer,LPL Financial,CA,Full-time,150480,"['python', 'machine learning', 'deep learning', 'tableau', 'aws', 'docker', 'airflow', 'kafka']"
Data Scientist,US Heathcare Product Company,Remote,Full-time,110000,"['python', 'machine learning', 'aws', 'azure', 'gcp', 'sql']"
Data Scientist,Boston Services,MI,Full-time,130000,"['python', 'tableau', 'docker', 'sql', 'git', 'hadoop']"
Data Scientist,Thalo Labs,NY,Full-time,140000,"['python', 'git']"
Data Scientist,rds,Remote,Full-time,80906,"['python', 'machine learning', 'deep learning', 'aws', 'azure', 'gcp', 'sql']"
Data Scientist,Brik Partners,Remote,Full-time,80906,"['python', 'machine learning', 'tableau', 'sql']"
Senior Data Analyst,Basis Technologies,IL,Full-time,84000,"['python', 'tableau', 'sql']"
Data Scientist,Albertsons Companies,CA,Full-time,109600,"['python', 'machine learning', 'deep learning', 'azure', 'sql', 'hadoop']"
"Data Scientist, Membership Programs",Petco,CA,Full-time,79600,"['python', 'machine learning', 'deep learning', 'tableau', 'sql']"
"Associate, Data Science",BlackRock,CA,Full-time,145000,"['python', 'machine learning', 'aws', 'azure', 'sql']"
Delivery Consultant - Sterling Data Exchange,IBM,TX,Full-time,101000,"['machine learning', 'sql']"
Data Scientist,ICF,VA,Full-time,77890,"['python', 'machine learning', 'deep learning', 'sql']"
"Data Scientist, DentaQuest",DentaQuest,MA,Full-time,100400,"['python', 'tableau', 'sql']"
"Data Scientist 2 - Price Optimization - Hybrid - Seattle, WA, Los Angeles, CA, Denver, CO, or Chicago, IL",Nordstrom Inc,CO,Full-time,114000,"['python', 'machine learning', 'sql']"
Data Analyst I - Windreich Department of Artificial Intelligence & Human Health,Mount Sinai,NY,Full-time,58661,['python']
"Sr Engineer - High-Performance Machine Learning Infra (Python, Kubernetes, PyTorch/TensorFlow)",TARGET,CA,Full-time,92000,"['tensorflow', 'pytorch', 'python', 'machine learning']"
Data Scientist - Computational Chemistry,Amgen,CA,Full-time,135935,"['pytorch', 'python', 'machine learning', 'deep learning']"
Data and Quality Supervisor - Research Scientist Supervisor 2,State of Minnesota,MN,Full-time,73440,['tableau']
Senior Data Analyst,Integral Ad Science,IL,Full-time,100000,"['python', 'numpy', 'pandas', 'sql']"
AI/ML Engineer II,kraken,Remote,Full-time,135000,"['tensorflow', 'pytorch', 'python', 'machine learning', 'hadoop']"
SME Data Scientist,ManTech International Corporation,Remote,Full-time,105900,"['python', 'machine learning', 'tableau', 'sql', 'kafka', 'hadoop']"
Data Mining and Analytics Engineer (Junior),ICF,VA,Full-time,64372,"['python', 'aws', 'sql']"
Sr. Data Analyst,BAXTER,IL,Full-time,80000,"['python', 'tableau', 'sql']"
Sr. Data Scientist,Saks,NY,Full-time,135782,"['tensorflow', 'pytorch', 'python', 'machine learning', 'docker', 'sql', 'airflow']"
Data Science Engineer,GE Renewable Energy,NY,Full-time,102200,"['python', 'sql']"
"Sr. Data Scientist, CRM & Loyalty",Yum! Brands,TX,Full-time,108700,"['python', 'tableau', 'sql']"
Senior Data Analyst,The American College of Radiology,VA,Full-time,96200,"['aws', 'sql']"
"Sr Data Analyst, Clinical Analytics & Reporting - REMOTE",DAVITA,CO,Full-time,56500,"['python', 'tableau', 'sql']"
Automation and Data Science Project Manager,Booz Allen Hamilton,VA,Full-time,81800,"['python', 'machine learning']"
RESEARCH DATA SPECIALIST III,Department of Transportation,CA,Full-time,7315,['sql']
Computational & Data Science Research Specialist 3,UC San Diego,CA,Full-time,75000,['git']
Data Science Analyst,The American College of Radiology,VA,Full-time,85500,"['python', 'machine learning', 'tableau', 'aws', 'sql']"
"Technical Program Manager, Data Infrastructure",Meta,CA,Full-time,87006,['machine learning']
Senior Data Scientist (Epi3) DOH7657,State of Washington Dept. of Health,WA,Full-time,86208,"['python', 'machine learning', 'sql']"
Data Engineer,Booz Allen Hamilton,DC,Full-time,73100,"['python', 'machine learning', 'aws', 'azure', 'gcp', 'sql']"
"Finance Manager, Data Center",Meta,CA,Full-time,138000,['machine learning']
Statistician (Medicine),US Veterans Health Administration,VA,Full-time,71099,['sql']
Sr. Scientist in Computational Biology / Data Science - LPAZ26894,"TechData Service Company, LLC",MD,Full-time,128000,"['python', 'machine learning', 'sql']"
Senior Data Analyst (Business Intelligence Analyst),TRILLIUM HEALTH RESOURCES,NC,Full-time,51500,"['python', 'machine learning', 'aws', 'sql']"
Data Scientist,Resource Innovations,CO,Full-time,82000,"['python', 'machine learning', 'tableau', 'aws', 'azure', 'sql', 'git']"
Senior Statistical Modeler,Kalibrate,Remote,Full-time,60000,"['python', 'machine learning', 'tableau', 'sql']"
AI/ML Engineer,lucid technologies,OH,Full-time,140000,"['python', 'aws', 'sql']"
Generative AI Practice Leader,ehub global,NJ,Full-time,140000,"['python', 'machine learning', 'aws', 'azure']"
Solution Architect (Machine Learning and Azure Cloud),Alpha Silicon,Remote,Full-time,110000,"['tensorflow', 'pytorch', 'python', 'machine learning', 'deep learning', 'azure', 'docker', 'sql', 'hadoop', 'apache spark']"
Statistical Data Analyst,Neotech Solutions,IL,Full-time,58495,['python']
Data Analyst/ Statistical,Neotech solutions,IL,Full-time,60000,['python']
Senior AI Engineer,LPL Financial,CA,Full-time,150480,"['python', 'machine learning', 'deep learning', 'tableau', 'aws', 'docker', 'airflow', 'kafka']"
Data Scientist,US Heathcare Product Company,Remote,Full-time,110000,"['python', 'machine learning', 'aws', 'azure', 'gcp', 'sql']"
Data Scientist,Boston Services,MI,Full-time,130000,"['python', 'tableau', 'docker', 'sql', 'git', 'hadoop']"
Data Scientist,rds,Remote,Full-time,80906,"['python', 'machine learning', 'deep learning', 'aws', 'azure', 'gcp', 'sql']"
Data Scientist,Brik Partners,Remote,Full-time,80906,"['python', 'machine learning', 'tableau', 'sql']"
Data Scientist,Triunity Software,CA,Full-time,140000,"['tensorflow', 'pytorch', 'python', 'machine learning', 'deep learning', 'tableau', 'aws', 'docker', 'airflow']"
Data Scientist,DT Professional Services,Remote,Full-time,90000,"['python', 'machine learning', 'sql', 'hadoop']"
Data Scientist,Albertsons Companies,CA,Full-time,109600,"['python', 'machine learning', 'deep learning', 'azure', 'sql', 'hadoop']"
"Data Scientist, Membership Programs",Petco,CA,Full-time,79600,"['python', 'machine learning', 'deep learning', 'tableau', 'sql']"
"Associate, Data Science",BlackRock,CA,Full-time,145000,"['python', 'machine learning', 'aws', 'azure', 'sql']"
Delivery Consultant - Sterling Data Exchange,IBM,TX,Full-time,101000,"['machine learning', 'sql']"
Data Scientist,ICF,VA,Full-time,77890,"['python', 'machine learning', 'deep learning', 'sql']"
"Data Scientist, DentaQuest",DentaQuest,MA,Full-time,100400,"['python', 'tableau', 'sql']"
Data Scientist or Senior Data Scientist,Metropolitan Council,MN,Full-time,78000,"['python', 'tableau', 'git']"
Data and Quality Supervisor - Research Scientist Supervisor 2,State of Minnesota,MN,Full-time,73440,['tableau']
Data Manager II,DLH Corp,US,Full-time,74000,['python']
Artificial Intelligence Engineer,DJ0 - TheCRM,CA,Full-time,117295,"['tensorflow', 'machine learning', 'tableau', 'aws', 'etl', 'sql']"
ML Engineer (Entry Level),Grindr,CA,Full-time,130000,"['tensorflow', 'pytorch', 'python', 'pandas', 'machine learning', 'deep learning', 'aws', 'azure', 'docker', 'gcp', 'sql', 'airflow', 'pyspark']"
Head Data Scientist,Resource Innovations,CO,Full-time,170000,"['python', 'machine learning', 'tableau', 'aws', 'azure', 'sql', 'git']"
Senior Data Analyst (Business Intelligence Analyst),TRILLIUM HEALTH RESOURCES,NC,Full-time,51500,"['python', 'machine learning', 'aws', 'sql']"
Senior Staff AI Data Engineer,Recruiting From Scratch,FL,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
AI Engineer,Mach Industries,TX,Full-time,80000,"['tensorflow', 'pytorch', 'python', 'machine learning', 'hadoop']"
Data Scientist (W2 role),Techsara solutions,TX,Full-time,120000,"['python', 'machine learning', 'sql']"
Director of Data Science,National Funding,CA,Full-time,130000,"['python', 'machine learning', 'deep learning', 'sql']"
Machine Learning Engineer,Dezign Concepts LLC,VA,Full-time,225000,"['tensorflow', 'pytorch', 'python', 'machine learning', 'deep learning', 'tableau', 'etl', 'sql']"
Data Scientist - Level 3,Applied Network Solutions Inc,CO,Full-time,100000,"['python', 'machine learning']"
Generative AI Practice Leader,ehub global,NJ,Full-time,140000,"['python', 'machine learning', 'aws', 'azure']"
Data Analyst/ Statistical,Neotech solutions,IL,Full-time,60000,['python']
Senior Data Analyst (Business Intelligence Analyst),TRILLIUM HEALTH RESOURCES,Remote,Full-time,51500,"['python', 'machine learning', 'aws', 'sql']"
Senior Data Analyst (Business Intelligence Analyst),TRILLIUM HEALTH RESOURCES,NC,Full-time,51500,"['python', 'machine learning', 'aws', 'sql']"
Data Scientist,Albertsons Companies,CA,Full-time,109600,"['python', 'machine learning', 'deep learning', 'azure', 'sql', 'hadoop']"
Data Scientist,NORC at the University of Chicago,IL,Full-time,86000,['machine learning']
"Associate, Data Science",BlackRock,CA,Full-time,145000,"['python', 'machine learning', 'aws', 'azure', 'sql']"
Data Scientist,Booz Allen Hamilton,SC,Full-time,73000,"['python', 'machine learning', 'mysql', 'nosql', 'sql', 'kafka', 'hadoop']"
Data Scientist,ICF,VA,Full-time,77890,"['python', 'machine learning', 'deep learning', 'sql']"
"Data Scientist, DentaQuest",DentaQuest,MA,Full-time,100400,"['python', 'tableau', 'sql']"
Data Scientist or Senior Data Scientist,Metropolitan Council,MN,Full-time,78000,"['python', 'tableau', 'git']"
Health Data Scientist,Booz Allen Hamilton,MD,Full-time,73100,"['machine learning', 'mysql', 'kafka', 'hadoop']"
Data Mining and Analytics Engineer (Junior),ICF,VA,Full-time,64372,"['python', 'aws', 'sql']"
"Data Scientist 2 - Price Optimization - Hybrid - Seattle, WA, Los Angeles, CA, Denver, CO, or Chicago, IL",Nordstrom Inc,CO,Full-time,114000,"['python', 'machine learning', 'sql']"
SME Data Scientist,ManTech International Corporation,Remote,Full-time,105900,"['python', 'machine learning', 'tableau', 'sql', 'kafka', 'hadoop']"
Data and Quality Supervisor - Research Scientist Supervisor 2,State of Minnesota,MN,Full-time,73440,['tableau']
Sr. Data Scientist,Saks,NY,Full-time,135782,"['tensorflow', 'pytorch', 'python', 'machine learning', 'docker', 'sql', 'airflow']"
AI/ML Engineer II,kraken,Remote,Full-time,135000,"['tensorflow', 'pytorch', 'python', 'machine learning', 'hadoop']"
Senior Data Analyst,Integral Ad Science,IL,Full-time,100000,"['python', 'numpy', 'pandas', 'sql']"
Delivery Consultant - Sterling Data Exchange,IBM,TX,Full-time,101000,"['machine learning', 'sql']"
Data Science Engineer,GE Renewable Energy,NY,Full-time,102200,"['python', 'sql']"
Sr. Data Analyst,BAXTER,IL,Full-time,80000,"['python', 'tableau', 'sql']"
"Sr. Data Scientist, CRM & Loyalty",Yum! Brands,TX,Full-time,108700,"['python', 'tableau', 'sql']"
